,,,,,,,,,,1338235.161
Material Issue Date,Issued To Code,Item Code,Item Desc.,Item Group,Item Category,Item Type,Issue Qty,Base UOM,Landed Rate,Landed Amount
06-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,4,NO,599.5,"2,398.00"
06-10-2022,LIUGONG,CO40033,ABRO TAP 25 MM,SMP,Welding item,Consumables,1,NO,20,20
06-10-2022,LIUGONG,SPCB000028,INMH 201217_GP Grey Top Coat Paint,SMP,CE01,Store Item,18,Ltr,386,"6,948.00"
06-10-2022,LIUGONG,SPCB000029,INMH 201218_GP Top Coat Paint Hardner,SMP,CE01,Store Item,4,Ltr,469,"1,876.00"
06-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,0.5,Kg,42,21
06-10-2022,LIUGONG,CT20159,SANDING DISK 220G,SMP,Welding item,Consumables,100,NO,20,"2,000.00"
06-10-2022,LIUGONG,CS50785,SANDING PAPER 80 GRIT 5'',SMP,SP01,Store Item,100,NOS,20,"2,000.00"
09-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,2,NO,599.5,"1,199.00"
09-10-2022,LIUGONG,CC30003,OXYGEN O2 GAS CYLINDER,SMP,GAS,Consumables,2,NO,229.5,459
07-10-2022,PROJECT,CO40697,FLAIR BALL PEN REFILL,SMP,OT01,Store Item,1,NO,2.5,2.5
07-10-2022,LIUGONG,CO400108,STORE MATERIAL ISSUE SLIP,SMP,OT01,Stationery,1,NOS,35,35
07-10-2022,LIUGONG,CT20042,DRILL T/S 14.00 MM,SMP,Punch,Consumables,1,NO,770.88,770.88
07-10-2022,LIUGONG,55A9701,LUG,SMP,SFG,Semi-finished Goods,36,NOS,295,"10,620.00"
07-10-2022,LIUGONG,51A0806,LUG,SMP,SFG,Semi-finished Goods,40,NOS,32.8,"1,312.00"
07-10-2022,LIUGONG,CO40059,CO2 MIG WIRE 1.20,SMP,FCI,Consumables,75,Kg,97,"7,275.00"
31-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,6,NOS,34,204
31-10-2022,LIUGONG,ST00000015,"GRINDING WHEEL 7"" Bosch",SMP,Punch,Consumables,5,NO,72,360
31-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,0.5,Kg,42,21
31-10-2022,LIUGONG,3039 FUEL TANK NECK,3039 FUEL TANK NECK BZ TRUCK (300135300300),NA,LUG,Finished Goods,4,NO,70.95,283.8
31-10-2022,LIUGONG,2808 FUEL TANK CAP,2808 FUEL TANK CAP MERCIDIES BENZ W/O KEYS,NA,LUG,Finished Goods,4,NO,132.85,531.38
08-10-2022,LIUGONG,CT5044581,DRILL T/S 8.5 MM,SMPC,Punch,Consumables,2,NO,296.64,593.28
08-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
31-10-2022,LIUGONG,SPCB000026,INMH 201215_GP Paint Primer Hardner,SMP,CE01,Store Item,1,Ltr,276,276
31-10-2022,LIUGONG,SPCB000024,INMH 201213_GP Yellow Paint Primer,SMP,CE01,Store Item,2,Ltr,276,552
31-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
31-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,2,SET,7,14
31-10-2022,LIUGONG,CO40053,PU EQUAL TEE 12mm x12mm,SMP,MCSP,Maintenance Items,1,NO,90.64,90.64
31-10-2022,LIUGONG,SPC0000047,PU POLISTER LIGHT WEIGHT PUTTY,NA,CE01,Store Item,4,Kg,295,"1,180.00"
08-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,4,NO,599.5,"2,398.00"
08-10-2022,LIUGONG,CO40037,WHITE PAINT MARKER,SMP,Stationary C,Stationery,1,NO,40,40
08-10-2022,LIUGONG,CS50294,SOCKET 18MM,SMP,SP01,Store Item,1,NO,220,220
08-10-2022,LIUGONG,CO400171,SURF POWDER,SMP,HK,Consumables,1,NOS,59,59
10-10-2022,LIUGONG,CO40024,WHITE GLASS,SMP,Welding item,Consumables,50,NO,2.5,125
10-10-2022,LIUGONG,CO40023,BLACK GLASS,SMP,Welding item,Consumables,10,NO,20,200
