,,,,,,,,,,1338235.161
Material Issue Date,Issued To Code,Item Code,Item Desc.,Item Group,Item Category,Item Type,Issue Qty,Base UOM,Landed Rate,Landed Amount
15-10-2022,PROJECT,CS5106316,"MS M/F REDUCER ADOPTER 1/2"" X 1/4""",SMP,SP01,Store Item,12,Mtr,30,360
29-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,4,NOS,34,136
29-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,8,NOS,13,104
29-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,0.5,Kg,42,21
29-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,3,NO,599.5,"1,798.50"
29-10-2022,LIUGONG,CC30003,OXYGEN O2 GAS CYLINDER,SMP,GAS,Consumables,1,NO,229.5,229.5
30-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,12,NOS,13,156
30-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,4,NO,599.5,"2,398.00"
30-10-2022,LIUGONG,CT20159,SANDING DISK 220G,SMP,Welding item,Consumables,200,NO,20,"4,000.00"
31-10-2022,LIUGONG,SSMB0001172,COBRA HEAVY FILE,SMP,SP01,Store Item,12,Kg,50,600
31-10-2022,LIUGONG,55A4946,BUSHING,SMP,SFG,Semi-finished Goods,40,NOS,348,"13,920.00"
31-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
31-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,10,NOS,13,130
31-10-2022,LIUGONG,CO400171,SURF POWDER,SMP,HK,Consumables,1,NOS,59,59
31-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,10,SET,7,70
31-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,7,NOS,34,238
31-10-2022,LIUGONG,SPCB000019,SNOWCEM CEMENT HARDNER (5 LTR BAG),NA,CE01,Store Item,25,Ltr,63,"1,575.00"
31-10-2022,LIUGONG,CO400163,RUBBER HAND GLOVES 12 INCH,SMP,OT01,Store Item,3,SET,68,204
31-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
31-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,10,SET,7,70
31-10-2022,LIUGONG,CO40019,WHITE GOGLES,SMP,Welding item,Consumables,3,NO,17,51
31-10-2022,LIUGONG,CO400171,SURF POWDER,SMP,HK,Consumables,1,NOS,59,59
31-10-2022,LIUGONG,SPCB000026,INMH 201215_GP Paint Primer Hardner,SMP,CE01,Store Item,5,Ltr,276,"1,380.00"
31-10-2022,LIUGONG,SPCB000029,INMH 201218_GP Top Coat Paint Hardner,SMP,CE01,Store Item,4,Ltr,469,"1,876.00"
31-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
31-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,2,SET,7,14
31-10-2022,LIUGONG,CS50282,"SANDING PAPER 5"" 320 GRIT",SMP,SP01,Store Item,200,NO,20,"4,000.00"
31-10-2022,LIUGONG,CS50785,SANDING PAPER 80 GRIT 5'',SMP,SP01,Store Item,200,NOS,20,"4,000.00"
31-10-2022,PROJECT,BRIGHT BAR 25X25,BRIGHT BAR 25X25,RM,RM01,Capital Items,381.6,Kg,69,"26,329.00"
31-10-2022,PROJECT,SSMB0001580,50 TR COOLING TOWER WITHOUT BASIN MODEL NO. 44250,SMP,Capital Items,Capital Items,1,NOS,"73,500.00","73,500.00"
31-10-2022,PROJECT,SSMB0001433,"Air Receiver 1 m 3 @ 8 bar Shell thickness 6 mm, disc Thickness 8 mm . Hydroulic Test Pressure 12 kg/cm2 with Accessories Like, Syphon tube,Pressure Gauge,drain Valve,Safety Valve Etc.",SMP,Capital Items,Capital Items,1,NOS,"54,000.00","54,000.00"
31-10-2022,PROJECT,SSM0000735,SQUARE BAR 10X10X1000,SMPC,RM Baar,Raw Material,475,NO,66.5,"31,587.50"
31-10-2022,PROJECT,MS ANGLE 3,MS ANGLE 25X25X3,RM,RM01,Store Item,96,Kg,61,"5,856.00"
31-10-2022,PROJECT,27A4143,27A4143 HOUSING;CSSH 2.5/ST14,OTH,SFG,Semi-finished Goods,17,NOS,"10,646.00","1,80,982.00"
31-10-2022,PROJECT,27A3347,27A3347 HOUSING ; CSSH 2.0/ST12,OTH,SFG,Semi-finished Goods,20,NOS,"12,610.00","2,52,200.00"
31-10-2022,PROJECT,SSMB000694,COUNTER WEIGHT FILLING MATERIAL ( BUGGI ) (CEMENT AND WATER),SMP,OT01,Store Item,"29,220.00",NOS,6,"1,75,320.00"
31-10-2022,PROJECT,01B1546,01B1546,SMP,SFG,Semi-finished Goods,150,NOS,19,"2,850.00"
31-10-2022,PROJECT,72A3874,72A3874 BUCKET TEETH,SMPL,BL,Semi-finished Goods,16,NOS,"1,625.00","26,000.00"
31-10-2022,PROJECT,72A3638,72A3638 TOOTH,SMPL,BL,Semi-finished Goods,75,NOS,"1,235.00","92,625.00"
31-10-2022,PROJECT,03B0095,03B0095,SMP,SFG,Semi-finished Goods,265,NOS,21,"5,565.00"
31-10-2022,PROJECT,06B0351,06B0351,SMP,SFG,Semi-finished Goods,90,NOS,5,450
31-10-2022,PROJECT,06B0012,06B0012,SMP,SFG,Semi-finished Goods,90,NOS,16,"1,440.00"
31-10-2022,PROJECT,01B1578,01B1578,SMP,SFG,Semi-finished Goods,75,NOS,41,"3,075.00"
31-10-2022,PROJECT,72A3852,72A3852 TOOTH,SMPL,BL,Semi-finished Goods,16,NOS,"1,625.00","26,000.00"
